chunks,pages
"Provider From
To
Requested Received
Submitted Notes
will email SAM/
ASC to review.VS
Sterling
Health
Clinic
7/7/2023
present 4/1/2024
04/19/2024 05/20/2024
Central
Plains
Medical
Center
2/10/2023 present 4/1/2024
No
Records
4/8/24 Email from
MediRecords
Solutions Inc.
ereq #188937708
for $30.60. Sent
NO RECS
statement to
SAM/MR backup
folders. Will
email Datavant
about adj.VS
4/15/24 Email
from Monishar D
(Datavant) inv
submitted for adj
to $0. And allow
1-3 business days
to be
completed.VS
Metro
Health &
Wellness
Center
4/14/2023 present 4/1/2024
No
Records
4/9/24 Email from
MediRecords
Solutions Inc.
ereq #188937318
for $30.60. Sent
NO RECS
statement to
SAM/MR backup
folders. Will
email Datavant
about adj.VS
Anya
Sharma,
NP
4/15/24 Email
from Shannon J
(Datavant) inv
",280.0
"Anya
Sharma,
NP
4/15/24 Email
from Shannon J
(Datavant) inv
",280.0
"Provider From
To
Requested Received
Submitted Notes
submitted for
cancellation. And
to allow 1-3
business days to
be reviewed.VS
Metro
Health &
Wellness
Center
Physical
RFC
4/1/2024
4/9/24 Must
contact facility
directly for form
to be completed,
but there are no
recs from DOS
requested from
4/14/23 to p, so
not sending form
to facility since C
has not been
there in a year.
ASC
Anya
Sharma,
NP
CC: Arthur Miller
",281.0
"1 of 6: 1F: Medical Source - No MER Available - MEDNOMER Src: METRO HEALTH
& WELLNESS #1 01/16/2023 To:, Page: 11 of 11 2023-01-18 15:01:15 EST
18885559876 From: Production Primary
                              Notice for Exception of Processing
                              Request for Medical Records
Date: 01/16/2023 Patient: Arthur Miller
Attention Requestor: We have received your request for copies of medical records
on the above referenced patient. We are unable to complete processing of your
request for the following reason(s):
[ ] We have no record of treatment for the above referenced patient. [ ] We have
no record of treatment for the date(s) of service you request. [x] Due to their age,
the records you have requested have been destroyed in accordance with state and
federal destru",282.0
"u have requested have been destroyed in accordance with state and
federal destruction guidelines. This record no longer exists. [ ] A HIPAA compliant
authorization was not included in your request. Please re-submit the attached
HIPAA release/authorization form once completed by the patient. [ ] The records
you have requested contain ""sensitive & highly confidential"" information. This
information may be released via specific written consent from the patient. Please
find the attached ""Authorization to Release Sensitive Information Form"". [ ] The
Medical Records Department is not responsible for completing forms or
responding with narratives. If you wish to obtain copies of medical records,
please submit a written request with a valid authorization. Please be advised that
there may be a charg",282.0
" request with a valid authorization. Please be advised that
there may be a charge for this service.
The HIPAA Authorization submitted lacks one or more of the following required
elements:
[ ] Identification of the patient (name, date of birth, or social security number) [ ]
A Description of the information to be disclosed must appear in the request. [ ] An
explanation/reason of the disclosure must be stated. [ ] The notification statement
pertaining to the individual's right to revoke authorization was missing from your
request. [ ] The notification statement pertaining to the potential for disclosed
information to be re-disclosed by recipient was missing from your request. [ ] The
form must identify the person or entity authorized to release the PHI. [ ] The form
must identify those perso",282.0
" or entity authorized to release the PHI. [ ] The form
must identify those person(s) authorized to obtain/receive the PHI. [ ] The form
must be signed and dated by the patient or documented representative.
(Documentation must be present with request/authorization.) [ ] The patient is
deceased. A Death Certificate, Affidavit of Relationship, or Letter of
",282.0
"Administration/Testament must accompany the request. [ ] The form must provide
a date of expiration. [ ] We are unable to release records to a 3rd party requestor.
A Letter of Representation must accompany your request. [ ] Please provide an
authorization with an updated signature and date. (Signature must be subsequent
to the last treatment date requested.) [ ] Other-
Please re-submit your request with the appropriate documentation
PDF processed with CutePDF evaluation edition www.CutePDF.com
12A3B4C5D6E7F8G9H0I1, MILLER, 11
Back to top 2 of 6: 1F: Medical Source - No MER Available - MEDNOMER Src:
METRO HEALTH & WELLNESS #1 01/16/2023 From: Internal Processing
To:, Page 5/9 Page: 06 of 11 2023-01-18 15:01:15 EST 18885559876
01.12.2023 13:52:29 National Benefits Agency
NATIONAL BENEFITS AG",283.0
"ST 18885559876
01.12.2023 13:52:29 National Benefits Agency
NATIONAL BENEFITS AGENCY NBACD Texoma Records Processing Unit PO Box
5001 New Town, KY 40701-0002
CLINIC - CENTRAL December 28, 2022 METRO HEALTH & WELLNESS 5900
DIVISION AVE S STE 120 GRAND RAPIDS MI 49548
[Barcode Placeholder] ROID:R0198765400055887002_ SITE:TXM RN:A SSN:
DOCTYPE:0002 RF:E CS:nbba
SSN: XXX-XX-7890
Claimant: ARTHUR MILLER
This page must be on top of your records. Slide this page into the return window
envelope with this Texoma Records Processing Unit address showing. --> --> New
Town, KY 40701-0002
PO Box 5001
PLEASE NOTE: NBA has contracted with a specialized vendor to scan your medical
records before they are sent to the DAS. Therefore, your response must be sent to
the address as indicated above and in the box",283.0
"ore, your response must be sent to
the address as indicated above and in the box to the right. Do NOT send your
records directly to the DAS.
",283.0
"In order to receive payment for your records, please submit an invoice on your
office letterhead with the claimant's name and your Tax ID number. THE INVOICE
MUST BE PLACED BEHIND THIS BAR CODED PAGE.
TO EXPEDITE YOUR RESPONSE FAX RECORDS TO: 1-877-555-4002
If you are sending records for more than one individual, you may place all of the
records in the same envelope, or fax them at the same time. However, you must
put the barcode page for each individual on TOP of THEIR own individual records.
To send us records electronically go to NBA's free, secure website address at:
http://secure.nba.gov. Use the 3 character site code from the barcode as the
destination for sending the records.
To register for access or for additional information, call the National Benefits
Agency Secure Transmissions",284.0
"r additional information, call the National Benefits
Agency Secure Transmissions Help Desk at 1-866-555-5000 or send them an email
at secure-transmissions@nba.gov
NBF-AB2-2 NBF AB2 (09/20) NB To,
NATIONAL BENEFITS AGENCY Texoma Records Processing Unit PO Box 5001, New
Town, KY 40701-0002
December 28, 2022
CLINIC - CENTRAL METRO HEALTH & WELLNESS 5900 Division Ave S Ste 120
Grand Rapids MI 49548 Page: 07 of 11 2023-01-18 15:01:15 EST 18885559876 From:
Production Primary
             01.12.2023 13:52:58 National Benefits Agency
                                                                           
RE: ARTHUR MILLER AKA: SSN: XXX-XX-7890 DOB: 05/21/1965 NBA CASE
NUMBER: 987654 CONTRACT NUMBER: 447443
The above-named individual has applied for disability benefits under the National
Benefi",284.0
"e-named individual has applied for disability benefits under the National
Benefits Act. I would appreciate your sending a copy of the individual's medical
records covering the dates listed below. A narrative report or copies of your
records are equally satisfactory. A copy of the individual's consent for release of
this information is enclosed.
IDENTIFYING INFORMATION:
",284.0
"Dates of Treatment: 07/01/2021 TO CURRENT Patient No:
Alleged Impairments: CAR ACCIDENT INJURIES; INSOMNIA; BODY NUMBNESS;
HIP, NECK, BACK PROBLEMS; LEARNING DISABILITY
Please include the following information in your report:
History of the impairment(s);
Objective clinical findings including office notes, exams, psychological tests,
and special studies;
Diagnosis and prognosis based on medical findings;
An assessment of functional ability based on your medical findings.
If, after review of your report, specific information is needed which is unavailable
from other sources, we may need to purchase a consultative examination. If you
would be willing to perform such an examination on your patient for us at a
reasonable fee, please indicate YES _ NO _.
Requesting Payment for Medical Reports
W",285.0
"onable fee, please indicate YES _ NO _.
Requesting Payment for Medical Reports
We are authorized to pay for medical records or photocopies according to the fee
schedule approved by the Benefits Assessment Division in your state.
MEF-IP1-1 MEF/IP1 (07/15) DA
Back to top 4 of 6: 1F: Medical Source - No MER Available - MEDNOMER Src:
METRO HEALTH & WELLNESS #1 01/16/2023 To:, Page: 08 of 11 2023-01-18
15:01:15 EST 18885559876 From: Production Primary 01.12.2023 13:53:19 National
Benefits Agency Page 7/9
If payment is required for the medical records, you must send us an invoice that
includes your UEI number with the medical records. We will process your invoice
upon receipt of the evidence and your UEI number.
Your prompt response will help assure a speedy decision on this claim. Thank you
for",285.0
" prompt response will help assure a speedy decision on this claim. Thank you
for your cooperation.
PLEASE RETURN A COPY OF THIS LETTER WITH YOUR RESPONSE.
J. Evans Disability Examiner (972) 555-0100,
__THIS REQUEST IS BEING RETURNED. WE DO NOT HAVE THE INFORMATION
1. 
2. 
3. 
4. 
",285.0
"REQUESTED.
Physician's signature
MEF-IP1-1 MEF/IP1 (07/15) DA 5 of 6: 1F: Medical Source - No MER Available -
MEDNOMER Src: METRO HEALTH & WELLNESS #1 01/16/2023
To:, Page: 09 of 11 2023-01-18 15:01:15 EST 18885559876 From: Production
Primary
01.12.2023 13:53:29 National Benefits Agency Page 8/9
NATIONAL BENEFITS AGENCY
Requesting Payment for Medical Records
The National Benefits Agency (NBA) pays for medical records or photocopies
according to the fee schedule approved by the Disability Determination Services
of the state in which the claimant resides.
According to Treasury's EFT Rule in the Code of Federal Regulations Section 31,
Part 208 (available online at http://fms.treas.gov/eft/index.html), all Federal
nontax payments must be disbursed using Electronic Funds Transfer (EFT)
payment ",286.0
"nontax payments must be disbursed using Electronic Funds Transfer (EFT)
payment methods. Therefore, vendors are required to register in the System for
Award Management (SAM). Providing EFT information, such as banking
information, ensures that payments reach vendors in a secure and timely manner.
By enrolling in SAM, NBA will automatically receive any information updates a
vendor makes in SAM. You are encouraged to register in SAM now in anticipation
of the change to EFT payments. Registration in SAM is free of charge.
If you have not already registered in SAM to receive your payments electronically,
please see the instructions below. Step 1: Prepare to register in SAM by locating
your Taxpayer Identification Number (TIN), your business location, and your
banking information. Step 3: Acces",286.0
"umber (TIN), your business location, and your
banking information. Step 3: Access SAM at https://www.sam.gov/portal/public/
SAM/. Step 4: Create a SAM User Account if you do not already have one. Step 5:
Register your Entity. During your registration, you may obtain your Unique Entity
ID (UEI). Step 6: Remain in an 'active status' and update your information as
needed.
For any questions regarding registration, please contact SAM Customer Service at
Federal Service Desk (www.fsd.gov)
",286.0
"Hours: 8am - 8pm (Eastern Time) US Calls: 866-606-8220 International Calls:
334-206-7828
How to Request Payment
When requesting payment, please submit a completed copy of the Medical
Evidence of Record Billing Invoice that was included with the original medical
evidence request. You also have the option of submitting your own invoice on
your office letterhead. Please remember to
MEF-IP1-1 MEF/IP1 (07/15) DA 6 of 6: 1F: Medical Source - No MER Available -
MEDNOMER Src: METRO HEALTH & WELLNESS #1 01/16/2023
To:, Page: 10 of 11 2023-01-18 15:01:15 EST 18885559876 From: Production
Primary Page 9/9
01.12.2023 13:54:03 National Benefits Agency include Arthur Miller's name, the
contract number, your Tax ID number, your current address, and your DUNS
number.
We are authorized to pay for medical re",287.0
"r current address, and your DUNS
number.
We are authorized to pay for medical records or photocopies according to the fee
schedule approved by the Benefits Adjudication Office in your state; however, as a
federal program we are exempt from paying state sales tax.
How to Get Payment Information
To obtain information on how to contact NBA regarding a vendor payment, please
visit http://www.nationalbenefitsagency.gov/vendor/contact.htm. If you are
enrolled in the Financial Services Gateway (FSG), please visit www.fsg.gov to
obtain vendor payment information. You can access FSG with your user ID and
password to receive the status of your payments for the past 30 days. Information
is available as of the payment date. FSG will provide the invoice number, payment
amount, and payment date. In addi",287.0
". FSG will provide the invoice number, payment
amount, and payment date. In addition, you can request an email notification
when payment data is available on the FSG website.
Thank you for your participation!
MEF-IP1-1 MEF/IP1 (07/15) DA 0901001006004r Back to top
",287.0
"1 of 19: 2F: Hospital Records - HOSPITAL Src: WILLOW CREEK MEDICAL CENTER
09/15/2022 - 01/18/2023 MILLER, ARTHUR - C-987654321
Orthopedics Clinic Note Final Report 
Result type: Orthopedics Clinic Note Result date: October 01, 2022 09:00 EDT Result
status: Auth (Verified) Result title: Metro Wellness Office Visit Note Performed by:
LEE, DAVID LSW on October 01, 2022 09:15 EDT Verified by: FINCH, ALISTAIR MD
on October 08, 2022 11:30 EDT Encounter info: 987654321098, AMB DR ORTDHQ,
Amb Outpatient-Active Chgs, 10/01/2022 - 10/10/2022
Final Report 
Patient Demographics
Patient Name: MILLER, ARTHUR Birth Date: 05/21/1965 Age: ~57 years Gender:
Male Date of Service: 10/01/2022 10:30 Referring Physician: VANCE MD, ELIAS
Patient Demographics
Patient Name: MILLER, ARTHUR Birth Date: 05/21/1965 Age",288.0
"IAS
Patient Demographics
Patient Name: MILLER, ARTHUR Birth Date: 05/21/1965 Age: ~57 years Gender:
Male Date of Service: 10/01/2022 10:30
Problem List/Past Medical History
Ongoing No qualifying data Historical No qualifying data
Procedure/Surgical History
Emergency department visit for the evaluation and management of a patient,
which requires these 3 key components: A detailed history; A detailed
examination; and Medical decision making of moderate complexity. Counseling
and/or coordination of care with o (11/29/2019), Administration of diphtheria-
tetanus- pertussis, combined (07/10/2011).
Medications
acetaminophen 500 mg oral tablet, disintegrating, 1 Tab, By Mouth, Q6, PRN
",288.0
"Allergies
No Known Allergies
Social History
Alcohol - Denies Alcohol Use Substance Abuse - Denies Substance Abuse Tobacco -
Denies Tobacco Use Never smoker
Printed by: DUBOIS, SERAPHINA Printed on: 2/15/2023 07:00 EST Page 1 of 3 Back
to top 2 of 19: 2F: Hospital Records - HOSPITAL Src: WILLOW CREEK MEDICAL
CENTER 09/15/2022 - 01/18/2023 MILLER, ARTHUR - C-987654321 Orthopedics
Clinic Note Final Report 
Referring Physician: VANCE MD, ELIAS
Chief Complaint rthip
History of Present Illness Patient is a 50 year-old male who is presenting as a new
patient with chronic R hip pain. Today, patient resting in a chair without distress.
Patient has known arthritic changes noted in their R hip. Patient complaining of
pain. Rates the pain as 8/10 and dull and achy in nature, with radiation to groin
an",289.0
". Rates the pain as 8/10 and dull and achy in nature, with radiation to groin
and buttock region. Pain is improved by rest. Pain is worsened by weight bearing
activities such as standing, prolonged ambulation, and going up and down the
stairs. Patient has attempted conservative treatment in the form of NSAIDs with
mild relief. Has not attempted PT or Injections. Patient states he was in a MVC in
2012 and has had hip pain since then. However, the pain has worsened over the
past two years. No recent acute events. Denies recent falls or injuries. Has been
ambulating without assistive devices. Pain tolerated at baseline. Patient denies
fever, chills, chest pain, shortness of breath, nausea, vomiting, weakness, tingling
sensation, numbness, or any other joint pain. Interested in PT.
Physical Ex",289.0
"ling
sensation, numbness, or any other joint pain. Interested in PT.
Physical Exam Vitals & Measurements HR: 94 (Monitored) BP: 126/86 WT: 69.85 kg
BMI: 24.9 Pain Assessment: Pain Score (Activity) : 09/15/2022 13:00 8
Adult Pain Scale : 09/15/2022 13:00 VAS
General Appearance: Well-nourished, well developed in no acute distress
Orientation: Oriented to person, place and time. Mood / Affect: Calm Gait: normal
Coordination: normal
",289.0
"Hip Exam (Bilateral) Inspection / Palpation LE (R/L): TTP over Greater trochanter
of R Hip R HIP: + FADIR, + FABER, +LOGROLL Hip Flexion (R/L): 120° / 120° Hip
Extension (R/L): 20° / 20° Hip Adduction (R/L): 15° / 15° Hip Abduction (R/L): 40° /
40°
Printed by: DUBOIS, SERAPHINA Page 2 of 3 Printed on: 1/25/2023 06:48 EST 3 of
19: 2F: Hospital Records - HOSPITAL Src: Willow Creek Medical Center 09/15/2022 -
01/18/2023
Orthopedics Clinic Note Final Report MILLER, ARTHUR - C-987654321
Hip IR (R/L): 5° / 5° Hip ER (R/L): 30° / 30° Strength LE: 5/5 EHL, tibialis anterior,
plantar flexion bilaterally Sensation: Subjective normal distal sensation bilaterally
Vasculature: 2+ dorsalis pedis pulse bilaterally LE Skin: no rashes or lesions
bilaterally Lymph LE: no inguinal lymphadenopathy DTR LE: Pat",290.0
" rashes or lesions
bilaterally Lymph LE: no inguinal lymphadenopathy DTR LE: Patellar (2+/2+);
Achilles (2+/2+)
Diagnostic Studies XRAY HIP and PELVIS RIGHT DATE: 9/15/222 Severe
subchondral sclerosis, and cystic changes in femoral head likely AVN.
Assessment/Plan
Avascular necrosis of bone of right hip 50 YO M with R Hip pain
Likely AVN based on radiographs Patient wants to try PT before considering
further surgical options NSAIDs for pain relief Follow up as needed Ordered:
Evaluation and Treatment (PT) - AMB
Orders: acetaminophen, = 1 Tab, By Mouth, Q6, PRN as needed for pain, # 50 Tab,
0 Refill(s) Diagnosis: M87.051 Idiopathic aseptic necrosis of right femur
I saw and evaluated the patient with the Resident, and I reviewed and discussed
the case with the Resident and agree with the Res",290.0
", and I reviewed and discussed
the case with the Resident and agree with the Resident's findings and plans as
documented above. on9/15
Completed Action List: Perform by LEE, DAVID LSW on September 15, 2022 13:21
EDT Modify by LEE, DAVID LSW on September 15, 2022 14:02 EDT Sign by LEE,
DAVID LSW on September 15, 2022 14:02 EDT Requested by LEE, DAVID LSW on
September 15, 2022 13:21 EDT Modify by LEE, DAVID LSW on September 15, 2022
14:03 EDT Sign by LEE, DAVID LSW on September 15, 2022 14:03 EDT Modify by
FINCH, ALISTAIR MD on September 22, 2022 10:05 EDT Sign by FINCH, ALISTAIR
MD on September 22, 2022 10:05 EDT Requested by LEE, DAVID LSW on
September 15, 2022 14:03 EDT VERIFY by FINCH, ALISTAIR MD on September 22,
2022 10:05 EDT
1. 
",290.0
"r 22,
2022 10:05 EDT
1. 
",290.0
"Printed by: DUBOIS, SERAPHINA Printed on: 1/25/2023 06:48 EST Page 3 of 3
Back to top 4 of 19: 2F: Hospital Records - HOSPITAL Src: WILLOW CREEK
MEDICAL CENTER 09/15/2022 - 01/18/2023
                                                                                        MILLER, ARTHUR - C-987654321
Assessment Notes \ Final Report \
Result type: Assessment Notes Result date: January 18, 2023 07:58 EST Result
status: Modified Result title: Perioperative Screening Performed by: Jenkins RN,
Sarah on January 18, 2023 07:58 EST Verified by: Jenkins RN, Sarah on January 18,
2023 07:58 EST Encounter info: 987654321098, CENTRAL PLAINS MEDICAL
CENTER, PreRegistration-Outpatient
                                     \ Final Report \                                  Document Has Been Revised
         ",291.0
"al Report \                                  Document Has Been Revised
                                     Perioperative Screening Entered On: 1/18/2023 07:59 EST
                                     Performed On: 1/18/2023 07:58 EST by Jenkins RN, Sarah
Travel History / Infectious Symptoms Contact Outside US/Canada 30 Days: No or
no contact with recent traveler Healthcare Outside US within Last Year: No Ebola -
Any symptoms?: No                                       Jenkins RN, Sarah - 1/18/2023 08:04 EST
General I Information Given By: Patient, Patient Record, Phone          Jenkins RN,
Sarah - 1/18/2023 08:04 EST Living Situation: Home
independently                            Jenkins RN, Sarah - 1/18/2023 08:04 EST Mobility
Assistance Prior to Admission: Partial assistance Religious Pr",291.0
"8:04 EST Mobility
Assistance Prior to Admission: Partial assistance Religious Preference: Muslim
COVRP Birth: Denies                                             Jenkins RN, Sarah - 1/24/2023 13:43
EST                                                            {[Denies] - previously charted by Jenkins RN,
Sarah at 1/18/2023 08:26 EST);                                                            {[Denies] -
previously charted by Jenkins RN, Sarah at 1/18/2023 08:04 EST); Caregiver
Gender: Denies Death: Denies Diet: Yes, No Pork Dying: Denies Holy Days: Denies
Pain Management: Denies Blood Products: Denies Placenta:
Denies                                            Jenkins RN, Sarah - 1/18/2023 08:04 EST
Printed by:       Dubois, Seraphina                                    Page 1 of 5 Printed",291.0
":       Dubois, Seraphina                                    Page 1 of 5 Printed
on:       1/25/2023 06:48 EST
Back to top 5 of 19: 2F: Hospital Records - HOSPITAL Src: WILLOW CREEK
MEDICAL CENTER 09/15/2022 - 01/18/2023
Assessment Notes MILLER, ARTHUR - W-987654321 Final Report 
",291.0
"Surgical Procedure Desc: Right total hip arthroplasty 1/30/2023 at 0830 hrs
PAT 01/24/2023 at 1000 hrs (No Show)
PAT scheduled 2nd time for 1/26 at 0800 hrs JENKINS RN, SARAH - 1/24/2023 13:43
EST {[Right total hip arthroplasty 1/30/2023 at 0830 hrs
PAT b1/24/2023 at 1000 hrs] - previously charted by JENKINS RN, SARAH at
1/18/2023 08:26 EST}; {[Right total hip arthroplasty 1/30/2023 at 0830 hrs] -
previously charted by JENKINS RN, SARAH at 1/18/2023 07:58 EST);
Primary Care Physician: Dr. Vance, Elias JENKINS RN, SARAH - 1/18/2023 07:58 EST
(310) 555-5678 Pregnancy Status: N/A male Lactation: N/A
General II JENKINS RN, SARAH - 1/18/2023 08:04 EST Preferred Communication
Mode: Verbal Languages: English Ability to Read/Write: Able to read, Able to write
Education Level: High school Sensory D",292.0
"o Read/Write: Able to read, Able to write
Education Level: High school Sensory Deficits: Other: Reading glasses Anticipated
Communication Barriers: Other: none Surgery Date/Time/Location Reviewed: Yes
Primary Contact JENKINS RN, SARAH - 1/18/2023 08:04 EST Primary Contact
Person: Seraphina Dubois (Friend) Primary Contact Mobile Phone Number: 555
555-0102 Alternate Contact Person: Clara Bennett Alternate Contact's Relationship
to Pt: Niece/Nephew Alternate Contact Mobile Phone Number: 555 555-0103
Advance Directive JENKINS RN, SARAH - 1/18/2023 08:04 EST Ped Patient and Non-
Emancip. Minor: No Advanced Directives (If Applicable): No
Primary Pain Primary Pain Location: Hip Primary Pain Laterality: Right Adult
Pain Scale: VAS Pain Score (Rest): 10 Pain Score (Activity): 10 Primary Pain Time
P",292.0
"n Scale: VAS Pain Score (Rest): 10 Pain Score (Activity): 10 Primary Pain Time
Pattern: Constant Primary Pain Quality: Aching, Sharp Primary Pain Radiation: No
Primary Pain Interventions: Repositioning
Printed by: DUBOIS, SERAPHINA Page 2 of 5 Printed on: 1/25/2023 06:48 EST
Back to top 6 of 19: 2F: Hospital Records - HOSPITAL Src: Willow Creek Medical
Center 10/20/2023 - 02/25/2024
Assessment Notes MILLER, ARTHUR - C-987654321 \ Final Report \
Primary Pain Aggravating Factors : None Primary Pain Alleviating Factors :
Repositioning Associated Symptoms : None Pain Negatively Impacts : Daily life
JENKINS RN, SARAH - 2/25/2024 09:15 EST
",292.0
"Measurements Height Mode : Stated Height : 170 cm(Converted to: 5 ft 7 in)
Weight Mode : Stated Weight : 72 kg(Converted to: 158 lb 12 oz) Height/Length :
Height Body Surface Area : 1.8315 BSA Mosteller : 1.8439 JENKINS RN, SARAH -
2/25/2024 09:15 EST
Image 4 - Images currently included in the form version of this document have
not been included in the text rendition version of the form. Allergies (As Of:
2/25/2024 09:20:00 EST)
Allergies (Active) No Known Allergies Estimated Onset Date: Unspecified ; Created
By: FORD RN, ARTHUR; Reaction Status: Active; Category: Drug; Substance: No
Known Allergies ; Type: Allergy ; Updated By: FORD RN, ARTHUR; Reviewed Date:
3/10/2022 10:30 EST
Immunization History Flu Shot : No JENKINS RN, SARAH - 2/25/2024 09:15 EST
Anesth/Transfusion Anesthesia/Transf",293.0
" No JENKINS RN, SARAH - 2/25/2024 09:15 EST
Anesth/Transfusion Anesthesia/Transfusions : Prior anesthesia Family History
Anesthesia Problem Peds : No Dentition Problems : Missing, Other. 4 upper
missing, 1 upper chipped JENKINS RN, SARAH - 2/25/2024 09:15 EST
Prosthetics/Implantable/Medication Device Prostheses/Medical Devices : None
Medical Devices : None JENKINS RN, SARAH - 2/25/2024 09:15 EST
Education Education History Results : No education data available. JENKINS RN,
SARAH - 2/25/2024 09:35 EST
Preprocedure Education Grid
Procedure Type : Preop
Education Topics Family
instructions,
Infection
prevention, Leave
valuables at
Printed by: DUBOIS, SERAPHINA Page 3 of 5 Printed on: 3/01/2024 07:00 EST 7 of
19: 2F: Hospital Records - HOSPITAL Src: Willow Creek Medical Center 09/15/2022 -
01/",293.0
"F: Hospital Records - HOSPITAL Src: Willow Creek Medical Center 09/15/2022 -
01/18/2023 Assessment Notes Final Report 
",293.0
"home, Medication instructions, Pain management,
Preprocedure diet, Spoke with patient/family about
concerns, Surgery date/time/location reviewed
Individuals Taught
Patient
Barriers to Learning None
Teaching Method
Printed materials, Teach Back, Telephone
Learning Response /
Teaching
Evaluation:
Met
Comment
(Comment: Heart hospital Preop # given [JENKINS RN,
SARAH - 1/18/2023 08:26 EST])
JENKINS RN, SARAH - 1/18/2023 08:26 EST
CSSRS Pre-Screener Patient is 12 Years of Age or Older: Yes Suicide Presents Sign
 
and/or Symptoms: No Suicide Presents BH Complaint: No JENKINS RN, SARAH -
1/18/2023 08:26 EST
Completed Action List: Perform by JENKINS RN, SARAH on January 18, 2023 07:58
 
EST Sign by JENKINS RN, SARAH on January 18, 2023 07:58 EST VERIFY by 
JENKINS RN, SARAH on January 18, 2023 07:",294.0
" January 18, 2023 07:58 EST VERIFY by 
JENKINS RN, SARAH on January 18, 2023 07:58 EST Modify by JENKINS RN, SARAH
 
on January 18, 2023 08:04 EST Sign by JENKINS RN, SARAH on January 18, 2023
 
08:04 EST Modify by JENKINS RN, SARAH on January 18, 2023 08:26 EST
Printed by: DUBOIS, SERAPHINA Printed on: 1/25/2023 06:48 EST Page 4 of 5 8 of
 
19: 2F: Hospital Records - HOSPITAL Src: Willow Creek Medical Center 09/15/2022 -
01/18/2023
Assessment Notes MILLER, ARTHUR - C-987654321 Final Report 
Sign by JENKINS RN, SARAH on January 18, 2023 08:26 EST Modify by JENKINS
 
RN, SARAH on January 24, 2023 13:43 EST Sign by JENKINS RN, SARAH on January
 
24, 2023 13:43 EST
Printed by: DUBOIS, SERAPHINA Page 5 of 5 Printed on: 1/25/2023 06:48 EST
Back to top 9 of 19: 2F: Hospital Records - HOSPITAL Sr",294.0
" on: 1/25/2023 06:48 EST
Back to top 9 of 19: 2F: Hospital Records - HOSPITAL Src: Willow Creek Medical
 
Center 09/15/2022 - 01/18/2023
Hip W/Pelvis 2 or 3 Views-Rt PT Name Arthur, Miller - D-841057251 Hip W/Pelvis 2 
or 3
87654321 Final Report 
",294.0
"Result type: Hip W/Pelvis 2 or 3 Views-Rt Result date: September 15, 2022 12:34
EDT Result status: Auth (Verified) Result title: Hip W/Pelvis 2 or 3 Views-Rt
Performed by: ABUJUDEH MD, HANI on September 15, 2022 12:34 EDT Performed
by: Dr. Anya Sharma, PhD, LCSW on September 15, 2022 12:34 EDT Verified by:
ABUJUDEH MD, HANI on September 15, 2022 12:47 EDT Verified by: Dr. Anya
Sharma, PhD, LCSW on September 15, 2022 12:47 EDT Encounter info:
680016671157, AMB DR ORTDHQ, Amb Outpatient-Active Chgs, 09/15/2022 -
09/25/2022 Encounter info: 987654321098, AMB DR ORTDHQ, Amb Outpatient-
Active Chgs, 09/15/2022 - 09/25/2022
Final Report 
Reason For Exam Pain
DX Report Hip W/Pelvis 2 or 3 Views-Rt: 9/15/2022 11:30 AM
CLINICAL HISTORY: 50 years old Male with Pain CLINICAL HISTORY: 58 years old
Male",295.0
"LINICAL HISTORY: 50 years old Male with Pain CLINICAL HISTORY: 58 years old
Male with Pain
TECHNIQUE: Frontal view of the pelvis and 2 views of the right hip
COMPARISON: None
FINDINGS: There is diffuse osteopenia.
Moderate arthritic changes are noted in the left hip with increased sclerosis in the
superior aspect of the joint and subchondral cyst formation.
Severe arthritic changes are noted in the right hip with increased sclerosis
decreased joint space and subchondral cyst formation, and the femoral head is a
geographic sclerotic line, AVN cannot be excluded, an MRI may be helpful for
further evaluation and/or CT
IMPRESSION: Severe arthritic changes in the right hip, AVN cannot be excluded,
recommend further evaluation with CT and/or MRI if clinically indicated
Signature Line FINAL Dicta",295.0
"evaluation with CT and/or MRI if clinically indicated
Signature Line FINAL Dictated By: And Verified By: ABUJUDEH MD, HANI And
Verified By: Dr. Anya Sharma, PhD, LCSW
Electronically Signed Date: 09/15/22 12:47 Date Transcribed: PWS 09/15/22 12:34
Printed by: LUDWIG, ANGELICA Page 1 of 2 Printed by: DUBOIS, SERAPHINA Page
1 of 2 Printed on: 1/25/2023 06:48 EST 10 of 19: 2F: Hospital Records - HOSPITAL
Src: Willow Creek Medical Center 09/15/2022 - 01/18/2023
",295.0
